Population,Afghanistan,Angola,Albania,United Arab Emirates,Argentina,Armenia,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Bolivia (Plurinational State of),Brazil,Barbados,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,D.R. of the Congo,Congo,Colombia,Comoros,Cabo Verde,Costa Rica,Czechoslovakia,Cuba,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,Egypt,Spain,Estonia,Ethiopia,Finland,France,Gabon,United Kingdom,Georgia,Ghana,Guinea,Gambia,Guinea-Bissau,Equatorial Guinea,Greece,Guatemala,China Hong Kong SAR,Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,Iran (Islamic Republic of),Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyzstan,Cambodia,Republic of Korea,Kuwait,Lao People's DR,Lebanon,Liberia,Libya,Saint Lucia,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,Republic of Moldova,Madagascar,Mexico,TFYR of Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Poland,Puerto Rico,D.P.R. of Korea,Portugal,Paraguay,State of Palestine,Qatar,Romania,Russian Federation,Rwanda,Saudi Arabia,Sudan (Former),Senegal,Singapore,Sierra Leone,El Salvador,Serbia,Sao Tome and Principe,Former USSR,Slovakia,Slovenia,Sweden,Swaziland,Seychelles,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Trinidad and Tobago,Tunisia,Turkey,Taiwan Province of China,U.R. of Tanzania: Mainland,Uganda,Ukraine,Uruguay,United States,Uzbekistan,Venezuela (Bolivarian Republic of),Viet Nam,Yemen,Former Yugoslavia,South Africa,Zambia,Zimbabwe
year,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BIH,BLR,BOL,BRA,BRB,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CSK,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,POL,PRI,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLE,SLV,SRB,STP,SUN,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,YEM,YUG,ZAF,ZMB,ZWE
1856,,,,,,,"1,065","4,120",,,"4,621",,,,,,,,,,,,,,"2,457","1,557","390,628",,,,,,,,,,,,,"34,715",,,"1,612",,,,,"15,381",,,"1,692","37,060",,"27,978",,,,,,,"3,216",,,,,,,"24,619","240,833","5,973",,,,,"25,420",,,"32,712",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,253","1,501",,,,,,,,,,,"3,875",,,,,,,,,,,,,,,,,,"3,657",,,,,,,,,,,,,,,,,"28,535",,,,,,,,
1857,,,,,,,"1,156","4,150",,,"4,651",,,,,,,,,,,,,,"2,471","1,582","387,176",,,,,,,,,,,,,"34,979",,,"1,634",,,,,"15,455",,,"1,703","37,120",,"28,186",,,,,,,"3,246",,,,,,,"24,904","241,683","5,919",,,,,"25,584",,,"32,833",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,277","1,521",,,,,,,,,,,"3,889",,,,,,,,,,,,,,,,,,"3,680",,,,,,,,,,,,,,,,,"29,360",,,,,,,,
1858,,,,,,,"1,235","4,178",,,"4,680",,,,,,,,,,,,,,"2,484","1,608","383,754",,,,,,,,,,,,,"35,278",,,"1,653",,,,,"15,526",,,"1,715","37,180",,"28,422",,,,,,,"3,273",,,,,,,"25,192","242,535","5,891",,,,,"25,748",,,"32,953",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,294","1,543",,,,,,,,,,,"3,925",,,,,,,,,,,,,,,,,,"3,711",,,,,,,,,,,,,,,,,"30,186",,,,,,,,
1859,,,,,,,"1,279","4,206",,,"4,710",,,,,,,,,,,,,,"2,497","1,634","380,362",,,,,,,,,,,,,"35,633",,,"1,674",,,,,"15,584",,,"1,726","37,240",,"28,660",,,,,,,"3,306",,,,,,,"25,484","243,390","5,862",,,,,"25,914",,,"33,075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,304","1,570",,,,,,,,,,,"3,963",,,,,,,,,,,,,,,,,,"3,761",,,,,,,,,,,,,,,,,"31,012",,,,,,,,
1860,,,,,,,"1,326","4,235",,,"4,740",,,,,,,,,,,,,"3,369","2,510","1,661","377,000",,,,,,,,,,,,,"36,049",,,"1,696",,,,,"15,642",,,"1,738","37,300",,"28,888",,,,,,,"3,336",,,,,,,"25,779","244,249","5,821",,,,,"26,081",,,"33,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,318","1,596",,132,,,,,,,,,"4,000",,,,,,,,,,,,,,,,,,"3,824",,,,,,,,,,,,,,,,,"31,839",,,,,,,,
1861,,,,,,,"1,346","4,263",,,"4,774",,,,,,,,,,,,,,"2,524","1,687","375,055",,,,,,,,,,,,,"36,435",,,"1,717",,,,,"15,699",,,"1,754","37,390",,"29,128",,,,,,,"3,367",,,,,,,"26,077","245,110","5,788",,,,,"26,249",,,"33,318",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,340","1,614",,,,,,,,,,,"4,074",,,,,,,,,,,,,,,,,,"3,888",,,,,,,,,,,,,,,,,"32,678",,,,,,,,
1862,,,,,,,"1,382","4,292",,,"4,809",,,,,,,,,,,,,,"2,538","1,715","373,121",,,,,,,,,,,,,"36,788",,,"1,739",,,,,"15,754",,,"1,774","37,520",,"29,401",,,,,,,"3,398",,,,,,,"26,379","245,974","5,776",,,,,"26,418",,,"33,441",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,366","1,627",,,,,,,,,,,"4,113",,,,,,,,,,,,,,,,,,"3,942",,,,,,,,,,,,,,,,,"33,516",,,,,,,,
1863,,,,,,,"1,432","4,321",,,"4,844",,,,,,,,,,,,,,"2,552","1,742","371,196",,,,,,,,,,,,,"37,184",,,"1,761",,,,,"15,809",,,"1,794","37,710",,"29,630",,,,,,,"3,430",,,,,,,"26,684","246,842","5,718",,,,,"26,610",,,"33,564",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,397","1,646",,,,,,,,,,,"4,131",,,,,,,,,,,,,,,,,,"3,994",,,,,,,,,,,,,,,,,"34,355",,,,,,,,
1864,,,,,,,"1,495","4,350",,,"4,879",,,,,,,,,,,,,,"2,566","1,770","369,282",,,,,,,,,,,,,"37,602",,,"1,777",,,,,"15,864",,,"1,813","37,860",,"29,842",,,,,,,"3,461",,,,,,,"26,993","247,712","5,641",,,,,"26,814",,,"33,687",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,431","1,668",,,,,,,,,,,"4,176",,,,,,,,,,,,,,,,,,"4,046",,,,,,,,,,,,,,,,,"35,192",,,,,,,,
1865,,,,,,,"1,558","4,380",,,"4,915",,,,,,,,,,,,,,"2,579","1,798","367,377",,,,,,,,,,,,,"37,955",,,"1,799",,,,,"15,920",,,"1,833","38,020",,"30,089",,,,,,,"3,493",,,,,,,"27,305","248,586","5,595",,,,,"27,023",,,"33,811",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,460","1,690",,,,,,,,,,,"4,201",,,,,,,,,,,,,,,,,,"4,092",,,,,,,,,,,,,,,,,"36,031",,,,,,,,
1866,,,,,,,"1,609","4,409",,,"4,950",,,,,,,,,,,,,,"2,593","1,827","365,482",,,,,,,,,,,,,"38,193",,,"1,814",,,,,"15,976",,,"1,840","38,080",,"30,315",,,,,,,"3,525",,,,,,,"27,621","249,462","5,523",,,,,"27,256",,,"33,935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,484","1,707",,,,,,,,,,,"4,226",,,,,,,,,,,,,,,,,,"4,137",,,,,,,,,,,,,,,,,"36,869",,,,,,,,
1867,,,,,,,"1,647","4,439",,,"4,986",,,,,,,,,,,,,,"2,607","1,856","363,597",,,,,,,,,,,,,"38,440",,,"1,833",,,,,"16,032",,,"1,831","38,230",,"30,572",,,,,,,"3,558",,,,,,,"27,941","250,342","5,487",,,,,"27,411",,,"34,060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,510","1,716",,,,,,,,,,,"4,251",,,,,,,,,,,,,,,,,,"4,178",,,,,,,,,,,,,,,,,"37,708",,,,,,,,
1868,,,,,,,"1,700","4,469",,,"5,023",,,,,,,,,,,,,,"2,623","1,885","361,722",,,,,,,,,,,,,"38,637",,,"1,852",,,,,"16,088",,,"1,776","38,330",,"30,845",,,,,,,"3,591",,,,,,,"28,264","251,225","5,466",,,,,"27,501",,,"34,185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,543","1,724",,,,,,,,,,,"4,276",,,,,,,,,,,,,,,,,,"4,154",,,,,,,,,,,,,,,,,"38,546",,,,,,,,
1869,,,,,,,"1,750","4,499",,,"5,029",,,,,,,,,,,,,,"2,639","1,915","359,856",,,,,,,,,,,,,"38,914",,,"1,871",,,,,"16,144",,,"1,734","38,890",,"31,127",,,,,,,"3,621",,,,,,,"28,591","252,111","5,449",,,,,"27,681",,,"34,311",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,575","1,729",,,,,,,,,,,"4,302",,,,,,,,,,,,,,,,,,"4,166",,,,,,,,,,,,,,,,,"39,385",,,,,,,,
1870,"4,207",,603,,"1,796",,"1,775","4,520",,,"5,096",,,,"2,586",,,,"1,495","9,797",,,,"3,781","2,655","1,945","358,000",,,,,"2,392",,,137,"10,155","1,331",,,"39,231",,5,"1,888",,"3,776","1,013","7,049","16,201",,,"1,754","38,440",,"31,400",,"1,579",,,,,"3,657","1,080",107,404,,"1,150","5,917","32,743","253,000","5,419","8,415","1,580",,,"27,888",499,266,"34,437",,,,"2,340","9,753",,755,476,,,,"2,786",,,,,"3,776",,,"9,219",,,,"4,245",,668,,,,,800,,,,337,"3,610","1,735","4,698",291,367,,176,"2,606","5,063","16,865",645,"4,511","4,327",384,434,,"9,179",,,"2,338",,,84,,492,,,"88,672",,,"4,164",,,"1,582",,,"5,775",,,124,"1,176","11,793","2,345",,,,343,"40,241",,"1,653","10,528","2,840","8,252","2,547",,
1871,,,,,,,"1,675","4,562",,,"5,137",,,,,,,,,"9,980",,,,"3,801","2,680","1,975","358,988",,,,,,,,,,,,,"39,456",,,"1,903",,,,,"16,258",,,"1,786","37,731",,"31,685",,,,,,,"3,694",,,,,,,"33,068","253,417","5,398",,,,,"28,063",,,"34,648",,,,,,,,,,,,"2,820",,,,,,,,"9,331",,,,,,,,,,,,,,,,"3,636","1,745",,306,,,,,,,,,"4,353",,,,,,,,,,,,,,,,,,"4,186",,,,,,,,,,,,,,,,354,"41,098",,"1,675",,,,,,
1872,,,,,,,"1,722","4,604",,,"5,178",,,,,,,,,"10,167",,,,"3,870","2,697","2,006","359,978",,,,,,,,,,,,,"39,691",,,"1,918",,,,,"16,315",,,"1,819","37,679",,"31,874",,,,,,,"3,732",,,,,,,"33,397","253,834","5,373",,,,,"28,233",,,"34,859",,,,,,,,,,,,"2,842",,,,,,,,"9,444",,,,,,,,,,,,,,,,"3,662","1,755",,320,,,,,,,,,"4,379",,,,,,,,,,,,,,,,,,"4,227",,,,,,,,,,,,,,,,364,"42,136",,"1,699",,,,,,
1873,,,,,,,"1,769","4,646",,,"5,219",,,,,,,,,"10,358",,,,"3,943","2,715","2,037","360,971",,,,,,,,,,,,,"40,017",,,"1,935",,,,,"16,372",,,"1,847","37,887",,"32,177",,,,,,,"3,770",,,,,,,"33,731","254,253","5,328",,,,,"28,387",,,"35,070",,,,,,,,,,,,"2,863",,,,,,,,"9,558",,,,,,,,,,,,,,,,"3,670","1,767",,335,,,,,,,,,"4,405",,,,,,,,,,,,,,,,,,"4,274",,,,,,,,,,,,,,,,376,"43,174",,"1,725",,,,,,
1874,,,,,,,"1,822","4,688",,,"5,261",,,,,,,,,"10,552",,,,"4,012","2,733","2,068","361,967",,,,,,,,,,,,,"40,450",,,"1,954",,,,,"16,429",,,"1,873","38,044",,"32,501",,,,,,,"3,809",,,,,,,"34,069","254,672","5,299",,,,,"28,505",,,"35,235",,,,,,,,,,,,"2,885",,,,,,,,"9,674",,,,,,,,,,,,,,,,"3,745","1,783",,367,,,,,,,,,"4,431",,,,,,,,,,,,,,,,,,"4,320",,,,,,,,,,,,,,,,387,"44,212",,"1,753",,,,,,
1875,,,,,,,"1,874","4,730",,,"5,303",,,,,,,,,"10,749",,,,"4,071","2,750","2,100","362,966",,,,,,,,,,,,,"40,897",,,"1,973",,,,,"16,487",,,"1,899","38,221",,"32,839",,,,,,,"3,848",,,,,,,"34,412","255,091","5,279",,,,,"28,630",,,"35,436",,,,,,,,,,,,"2,908",,,,,,,,"9,791",,,,,,,,,,,,,,,,"3,788","1,803",,406,,,,,,,,,"4,458",,,,,,,,,,,,,,,,,,"4,362",,,,,,,,,,,,,,,,399,"45,245",,"1,784",,,,,,
1876,,,,,,,"1,929","4,772",,,"5,345",,,,,,,,,"10,951",,,,"4,128","2,768","2,132","363,967",,,,,,,,,,,,,"41,491",,,"1,994",,,,,"16,545",,,"1,928","38,398",,"33,200",,,,,,,"3,887",,,,,,,"34,760","255,512","5,278",,,,,"28,837",,,"35,713",,,,,,,,,,,,"2,930",,,,,,,,"9,910",,,,,,,,,,,,,,,,"3,832","1,829",,434,,,,,,,,,"4,484",,,,,,,,,,,,,,,,,,"4,406",,,,,,,,,,,,,,,,411,"46,287",,"1,816",,,,,,
1877,,,,,,,"1,995","4,815",,,"5,394",,,,,,,,,"11,156",,,,"4,184","2,786","2,165","364,971",,,,,,,,,,,,,"42,034",,,"2,019",,,,,"16,603",,,"1,957","38,576",,"33,576",,,,,,,"3,927",,,,,,,"35,113","255,933","5,286",,,,,"29,067",,,"36,018",,,,,,,,,,,,"2,952",,,,,,,,"10,030",,,,,,,,,,,,,,,,"3,883","1,852",,450,,,,,,,,,"4,511",,,,,,,,,,,,,,,,,,"4,457",,,,,,,,,,,,,,,,424,"47,325",,"1,849",,,,,,
1878,,,,,,,"2,062","4,857",,,"5,442",,,,,,,,,"11,365",,,,"4,244","2,803","2,198","365,978",,,,,,,,,,,,,"42,546",,,"2,043",,,,,"16,677",,,"1,983","38,763",,"33,932",,,,,,,"3,967",,,,,,,"35,471","256,354","5,282",,,,,"29,252",,,"36,315",,,,,,,,,,,,"2,975",,,,,,,,"10,151",,,,,,,,,,,,,,,,"3,834","1,877",,467,,,,,,,,,"4,538",,,,,,,,,,,,,,,,,,"4,508",,,,,,,,,,,,,,,,437,"48,362",,"1,883",,,,,,
1879,,,,,,,"2,127","4,899",,,"5,492",,,,,,,,,"11,578",,,,"4,312","2,821","2,231","366,988",,,,,,,,,,,,,"43,052",,,"2,064",,,,,"16,768",,,"2,014","38,909",,"34,304",,,,,,,"4,008",,,,,,,"35,834","256,777","5,266",,,,,"29,425",,,"36,557",,,,,,,,,,,,"2,998",,,,,,,,"10,274",,,,,,,,,,,,,,,,"3,986","1,902",,494,,,,,,,,,"4,571",,,,,,,,,,,,,,,,,,"4,555",,,,,,,,,,,,,,,,450,"49,400",,"1,917",,,,,,
1880,,,,,,,"2,197","4,941",,,"5,541",,,,,,,,,"11,794",,,,"4,384","2,839","2,264","368,000",,,,,,,,,,,,,"43,500",,,"2,081",,,,,"16,859",,,"2,047","39,045",,"34,623",,,,,,,"4,049",,,,,,,"36,203","257,200","5,203",,,,,"29,534",,,"36,807",,,,,,,,,,,,"3,021",,,,,,,,"10,399",,,,,,,,,,,,,,,,"4,043","1,919",,520,,,,,,,,,"4,610",,,,,,,,,,,,,,,,,,"4,572",,,,,,,,,,,,,,,,464,"50,458",,"1,952",,,,,,
1881,,,,,,,"2,269","4,985",,,"5,606",,,,,,,,,"12,015",,,,"4,451","2,853","2,298","369,183",,,,,,,,,,,,,"43,827",,,"2,101",,,,,"16,951",,,"2,072","39,191",,"34,935",,,,,,,"4,090",,,,,,,"36,577","259,359","5,146",,,,,"29,672",,,"37,112",,,,,,,,,,,,"3,044",,,,,,,,"10,524",,,,,,,,,,,,,,,,"4,079","1,923",,539,,,,,,,,,"4,651",,,,,,,,,,,,,,,,,,"4,570",,,,,,,,,,,,,,,,482,"51,743",,"1,986",,,,,,
1882,,,,,,,"2,348","5,030",,,"5,673",,,,,,,,,"12,240",,,,"4,503","2,863","2,331","370,369",,,,,,,,,,,,,"44,112",,,"2,120",,,,,"17,043",,,"2,098","39,337",,"35,206",,,,,,,"4,132",,,,,,,"37,259","261,536","5,101",,,,,"29,898",,,"37,414",,,,,,,,,,,,"3,073",,,,,,,,"10,652",,,,,,,,,,,,,,,,"4,130","1,920",,555,,,,,,,,,"4,691",,,,,,,,,,,,,,,,,,"4,576",,,,,,,,,,,,,,,,502,"53,027",,"2,019",,,,,,
1883,,,,,,,"2,447","5,075",,,"5,740",,,,,,,,,"12,470",,,,"4,560","2,874","2,365","371,560",,,,,,,,,,,,,"44,404",,,"2,137",,,,,"17,136",,,"2,130","39,472",,"35,450",,,,,,,"4,174",,,,,,,"37,646","263,732","5,024",,,,,"30,113",,,"37,766",,,,,,,,,,,,"3,107",,,,,,,,"10,781",,,,,,,,,,,,,,,,"4,180","1,919",,574,,,,,,,,,"4,732",,,,,,,,,,,,,,,,,,"4,591",,,,,,,,,,,,,,,,522,"54,311",,"2,052",,,,,,
1884,,,,,,,"2,556","5,121",,,"5,807",,,,,,,,,"12,703",,,,"4,617","2,885","2,400","372,754",,,,,,,,,,,,,"44,777",,,"2,160",,,,,"17,230",,,"2,164","39,629",,"35,724",,,,,,,"4,217",,,,,,,"38,039","265,946","4,975",,,,,"30,366",,,"38,138",,,,,,,,,,,,"3,144",,,,,,,,"10,912",,,,,,,,,,,,,,,,"4,226","1,929",,598,,,,,,,,,"4,773",,,,,,,,,,,,,,,,,,"4,624",,,,,,,,,,,,,,,,543,"55,595",,"2,083",,,,,,
1885,,,,,,,"2,650","5,166",,,"5,876",,,,,,,,,"12,941",,,,"4,666","2,896","2,434","373,952",,,,,,,,,,,,,"45,084",,,"2,186",,,,,"17,323",,,"2,195","39,733",,"36,015",,,,,,,"4,260",,,,,,,"38,439","268,179","4,939",,,,,"30,644",,,"38,427",,,,,,,,,,,,"3,170",,,,,,,,"11,044",,,,,,,,,,,,,,,,"4,276","1,944",,614,,,,,,,,,"4,815",,,,,,,,,,,,,,,,,,"4,664",,,,,,,,,,,,,,,,564,"56,879",,"2,113",,,,,,
1886,,,,,,,"2,741","5,212",,,"5,919",,,,,,,,,"13,183",,,,"4,711","2,907","2,469","375,154",,,,,,,,,,,,,"45,505",,,"2,213",,,,,"17,418",,,"2,224","39,858",,"36,313",,,,,,,"4,303",,,,,,,"38,844","270,430","4,906",,,,,"30,857",,,"38,622",,,,,,,,,,,,"3,194",,,,,,,,"11,178",,,,,,,,,,,,,,,,"4,326","1,958",,626,,,,,,,,,"4,857",,,,,,,,,,,,,,,,,,"4,700",,,,,,,,,,,,,,,,587,"58,164",,"2,129",,,,,,
1887,,,,,,,"2,835","5,257",,,"5,962",,,,,,,,,"13,430",,,,"4,760","2,918","2,503","376,359",,,,,,,,,,,,,"46,001",,,"2,237",,,,,"17,513",,,"2,259","39,889",,"36,598",,,,,,,"4,347",,,,,,,"39,257","272,700","4,857",,,,,"31,049",,,"38,866",,,,,,,,,,,,"3,221",,,,,,,,"11,313",,,,,,,,,,,,,,,,"4,378","1,970",,640,,,,,,,,,"4,899",,,,,,,,,,,,,,,,,,"4,726",,,,,,,,,,,,,,,,610,"59,448",,"2,147",,,,,,
1888,,,,,,,"2,932","5,303",,,"6,007",,,,,,,,,"13,682",,,,"4,813","2,929","2,538","377,569",,,,,,,,,,,,,"46,538",,,"2,257",,,,,"17,600",,,"2,296","39,920",,"36,881",,,,,,,"4,392",,,,,,,"39,675","274,990","4,801",,,,,"31,243",,,"39,251",,,,,,,,,,,,"3,261",,,,,,,,"11,450",,,,,,,,,,,,,,,,"4,432","1,977",,649,,,,,,,,,"4,942",,,,,,,,,,,,,,,,,,"4,741",,,,,,,,,,,,,,,,635,"60,732",,"2,173",,,,,,
1889,,,,,,,"3,022","5,348",,,"6,051",,,,,,,,,"13,938",,,,"4,865","2,940","2,573","378,783",,,,,,,,,,,,,"47,083",,,"2,276",,,,,"17,678",,,"2,331","40,004",,"37,178",,,,,,,"4,437",,,,,,,"40,100","277,298","4,757",,,,,"31,468",,,"39,688",,,,,,,,,,,,"3,311",,,,,,,,"11,589",,,,,,,,,,,,,,,,"4,485","1,984",,656,,,,,,,,,"4,985",,,,,,,,,,,,,,,,,,"4,761",,,,,,,,,,,,,,,,660,"62,016",,"2,198",,,,,,
1890,,,726,,"3,376",,"3,107","5,394",,,"6,096",,,,"3,445",,,,,"14,199",,,,"4,918","2,951","2,608","380,000",,,,,"3,369",,,,"11,253",,,,"47,607",,,"2,294",,,,,"17,757",,,"2,364","40,014",,"37,485",,,,,,,"4,482",,185,,,,"6,622","40,532","279,626","4,718",,,,,"31,702",,,"40,077",,,,,"9,848",,,,,,,"3,343",,,,,,,,"11,729",,,,"7,489",,,,,,,"1,585",,,,,"4,535","1,997","5,192",665,,,,"3,346","6,476","22,854",,,"5,028",,,,"10,373",,,,,,157,,,,,"110,664",,,"4,780",,,,,,"6,670",,,,,,"2,500",,,,686,"63,302",,"2,224",,,"9,690",,,
1891,,,,,,,"3,196","5,446",,,"6,164",,,,,,,,,"14,539",,,,"4,972","2,965","2,643","381,979",,,,,,,,,,,,,"48,129",,,"2,311",,,,,"17,836",,,"2,394","39,983",,"37,802",,,,,,,"4,528",,,,,,,"40,955","280,110","4,680",,,,,"31,892",,,"40,380",,,,,,,,,,,,"3,404",,,,,,,,"11,904",,,,,,,,,,,,,,,,"4,585","2,013",,674,,,,,,,,,"5,068",,,,,,,,,,,,,,,,,,"4,794",,,,,,,,,,,,,,,,706,"64,612",,"2,255",,,,,,
1892,,,,,,,"3,274","5,504",,,"6,231",,,,,,,,,"14,886",,,,"5,022","3,002","2,678","383,969",,,,,,,,,,,,,"48,633",,,"2,327",,,,,"17,916",,,"2,451","39,993",,"38,134",,,,,,,"4,574",,,,,,,"41,384","280,594","4,634",,,,,"32,091",,,"40,684",,,,,,,,,,,,"3,470",,,,,,,,"12,083",,,,,,,,,,,,,,,,"4,632","2,026",,686,,,,,,,,,"5,104",,,,,,,,,,,,,,,,,,"4,805",,,,,,,,,,,,,,,,727,"65,922",,"2,285",,,,,,
1893,,,,,,,"3,334","5,563",,,"6,300",,,,,,,,,"15,242",,,,"5,072","3,040","2,713","385,969",,,,,,,,,,,,,"49,123",,,"2,344",,,,,"17,996",,,"2,430","40,014",,"38,490",,,,,,,"4,621",,,,,,,"41,820","281,079","4,607",,,,,"32,303",,,"41,001",,,,,,,,,,,,"3,524",,,,,,,,"12,263",,,,,,,,,,,,,,,,"4,684","2,038",,705,,,,,,,,,"5,141",,,,,,,,,,,,,,,,,,"4,816",,,,,,,,,,,,,,,,748,"67,231",,"2,314",,,,,,
1894,,,,,,,"3,395","5,622",,,"6,370",,,,,,,,,"15,607",,,,"5,121","3,077","2,748","387,979",,,,,,,,,,,,,"49,703",,,"2,367",,,,,"18,076",,,"2,511","40,056",,"38,859",,,,,,,"4,668",,,,,,,"42,262","281,565","4,589",,,,,"32,513",,,"41,350",,,,,,,,,,,,"3,584",,,,,,,,"12,447",,,,,,,,,,,,,,,,"4,743","2,057",,722,,,,,,,,,"5,178",,,,,,,,,,,,,,,,,,"4,849",,,,,,,,,,,,,,,,770,"68,541",,"2,346",,,,,,
1895,,,,,,,"3,460","5,680",,,"6,439",,,,,,,,,"15,980",,,,"5,169","3,114","2,783","390,000",,,,,,,,,,,,,"50,363",,,"2,397",,,,,"18,157",,,"2,483","40,098",,"39,221",,,,,,,"4,716",,,,,,,"42,710","282,052","4,560",,,,,"32,689",,,"41,775",,,,,,,,,,,,"3,626",,,,,,,,"12,663",,,,,,,,,,,,,,,,"4,803","2,083",,735,,,,,,,,,"5,215",,,,,,,,,,,,,,,,,,"4,896",,,,,,,,,,,,,,,,792,"69,851",,"2,375",,,,,,
1896,,,,,,,"3,523","5,739",,,"6,494",,,,,,,,,"16,362",,,,"5,218","3,151","2,818","391,980",,,,,,,,,,,,,"51,111",,,"2,428",,,,,"18,238",,,"2,515","40,192",,"39,599",,,,,,,"4,764",,,,,,,"43,174","282,540","4,542",,,,,"32,863",,,"42,196",,,,,,,,,,,,"3,693",,,,,,,,"12,822",,,,,,,,,,,,,,,,"4,866","2,112",,748,,,,"3,470",,,,,"5,252",,,,,,,,,,,,,,,,,,"4,941",,,,,,,,,,,,,,,,815,"71,161",,"2,408",,,,,,
1897,,,,,,,"3,586","5,798",,,"6,548",,,,,,,,,"16,753",,,,"5,269","3,188","2,853","393,970",,,,,,,,,,,,,"51,921",,,"2,462",,,,,"18,320",,,"2,549","40,348",,"39,987",,,,,,,"4,813",,,,,,,"43,645","283,029","4,530",,,,,"33,078",,,"42,643",,,,,,,,,,,,"3,752",,,,,,,,"13,014",,,,,,,,,,,,,,,,"4,935","2,142",,764,,,,"3,513",,,,,"5,290",,,,,,,,,,,,,,,,,,"4,986",,,,,,,,,,,,,,,,839,"72,471",,"2,442",,,,,,
1898,,,,,,,"3,642","5,856",,,"6,604",,,,,,,,,"17,154",,,,"5,325","3,226","2,889","395,970",,,,,,,,,,,,,"52,753",,,"2,497",,,,,"18,402",,,"2,589","40,473",,"40,381",,,,,,,"4,862",,,,,,,"44,121","283,518","4,518",,,,,"33,285",,,"43,145",,,,,,,,,,,,"3,820",,,,,,,,"13,209",,,,,,,,,,,,,,,,"5,003","2,174",,779,,,,"3,558",,,,,"5,327",,,,,,,,,,,,,,,,,,"5,036",,,,,,,,,,,,"2,690",,,,864,"73,781",,"2,475",,,,,,
1899,,,,,,,"3,691","5,915",,,"6,662",,,,,,,,,"17,564",,,,"5,383","3,263","2,924","397,980",,,,,,,,,,,,,"53,592",,,"2,530",,,,,"18,484",,,"2,624","40,546",,"40,773",,,,,,,"4,912",,,,,,,"44,607","284,009","4,502",,,,,"33,487",,,"43,626",,,,,,,,,,,,"3,874",,,,,,,,"13,406",,,,,,,,,,,,,,,,"5,070","2,204",,794,,,,"3,603",,,,,"5,366",,,,,,,,,,,,,,,,,,"5,080",,,,,,,,,,,,"2,759",,,,889,"75,091",,"2,509",,,,,,
