games,summer,team,gold,silver,bronze,total,games_city,games_year,games_country,team_match,population,gdp_pc,home_team_match,home_team
Melbourne 1956,1.0,Austria,0,0,2,2,Melbourne ,1956,Australia,Austria,6952.0,8603.0,Australia,0
Squaw Valley 1960,0.0,Austria,1,2,3,6,Squaw Valley ,1960,United States,Austria,7047.0,10391.0,United States,0
Rome 1960,1.0,Austria,1,1,0,2,Rome ,1960,Italy,Austria,7047.0,10391.0,Italy,0
Innsbruck 1964,0.0,Austria,4,5,3,12,Innsbruck ,1964,Austria,Austria,7224.0,12062.0,Austria,1
Mexico City 1968,1.0,Austria,0,2,2,4,Mexico City ,1968,Mexico,Austria,7415.0,13742.0,Mexico,0
Grenoble 1968,0.0,Austria,3,4,4,11,Grenoble ,1968,France,Austria,7415.0,13742.0,France,0
Sapporo 1972,0.0,Austria,1,2,2,5,Sapporo ,1972,Japan,Austria,7544.0,17169.0,Japan,0
Munich 1972,1.0,Austria,0,1,2,3,Munich ,1972,Germany,Austria,7544.0,17169.0,Germany,0
Montreal 1976,1.0,Austria,0,0,1,1,Montreal ,1976,Canada,Austria,7566.0,19448.0,Canada,0
Innsbruck 1976,0.0,Austria,2,2,2,6,Innsbruck ,1976,Austria,Austria,7566.0,19448.0,Austria,1
Moscow 1980,1.0,Austria,1,2,1,4,Moscow ,1980,Russia,Austria,7549.0,21932.0,Russian Federation,0
Lake Placid 1980,0.0,Austria,3,2,2,7,Lake Placid ,1980,United States,Austria,7549.0,21932.0,United States,0
Sarajevo 1984,0.0,Austria,0,0,1,1,Sarajevo ,1984,Bosnia and Herzegovina,Austria,7554.0,23016.0,Former Yugoslavia,0
Los Angeles 1984,1.0,Austria,1,1,1,3,Los Angeles ,1984,United States,Austria,7554.0,23016.0,United States,0
Seoul 1988,1.0,Austria,1,0,0,1,Seoul ,1988,South Korea,Austria,7600.0,25112.0,Republic of Korea,0
Calgary 1988,0.0,Austria,3,5,2,10,Calgary ,1988,Canada,Austria,7600.0,25112.0,Canada,0
Albertville 1992,0.0,Austria,6,7,8,21,Albertville ,1992,France,Austria,7887.0,28072.44,France,0
Barcelona 1992,1.0,Austria,0,2,0,2,Barcelona ,1992,Spain,Austria,7887.0,28072.44,Spain,0
Lillehammer 1994,0.0,Austria,2,3,4,9,Lillehammer ,1994,Norway,Austria,7983.0,28780.76,Norway,0
Atlanta 1996,1.0,Austria,0,1,2,3,Atlanta ,1996,United States,Austria,8006.0,30413.16,United States,0
Nagano 1998,0.0,Austria,3,5,9,17,Nagano ,1998,Japan,Austria,8024.0,32376.33,Japan,0
Sydney 2000,1.0,Austria,2,1,0,3,Sydney ,2000,Australia,Austria,8059.0,34796.26,Australia,0
Salt Lake City 2002,0.0,Austria,3,4,10,17,Salt Lake City ,2002,United States,Austria,8129.0,35823.59,United States,0
Athens 2004,1.0,Austria,2,4,1,7,Athens ,2004,Greece,Austria,8220.0,36957.11,Greece,0
Beijing 2008,1.0,Austria,0,1,2,3,Beijing ,2008,China,Austria,8370.0,40964.79,China,0
Vancouver 2010,0.0,Austria,4,6,6,16,Vancouver ,2010,Canada,Austria,8413.0,40288.35,Canada,0
Sochi 2014,0.0,Austria,4,8,5,17,Sochi ,2014,Russia,Austria,8597.0,41338.0,Russian Federation,0
Rio 2016,1.0,Austria,0,0,1,1,Rio ,2016,Brazil,Austria,8788.0,41445.0,Brazil,0
PyeongChang 2018,0.0,Austria,5,3,6,14,PyeongChang ,2018,South Korea,Austria,8892.0,42988.07,Republic of Korea,0
Tokyo 2020,1.0,Austria,1,1,5,7,Tokyo ,2020,Japan,Austria,,,Japan,0
Athens 1896,1.0,Australia,2,0,0,2,Athens ,1896,Greece,Australia,3523.0,5874.0,Greece,0
Antwerp 1920,1.0,Australia,0,2,1,3,Antwerp ,1920,Belgium,Australia,5358.0,7597.0,Belgium,0
Paris 1924,1.0,Australia,3,1,2,6,Paris ,1924,France,Australia,5819.0,8635.0,France,0
Amsterdam 1928,1.0,Australia,1,2,1,4,Amsterdam ,1928,Netherlands,Australia,6304.0,8690.0,Netherlands,0
Los Angeles 1932,1.0,Australia,3,1,1,5,Los Angeles ,1932,United States,Australia,6579.0,7275.0,United States,0
Berlin 1936,1.0,Australia,0,0,1,1,Berlin ,1936,Germany,Australia,6783.0,8792.0,Germany,0
London 1948,1.0,Australia,2,6,5,13,London ,1948,United Kingdom,Australia,7715.0,11105.0,United Kingdom,0
Helsinki 1952,1.0,Australia,6,2,3,11,Helsinki ,1952,Finland,Australia,8691.0,11824.0,Finland,0
Melbourne 1956,1.0,Australia,13,8,14,35,Melbourne ,1956,Australia,Australia,9501.0,12924.0,Australia,1
Rome 1960,1.0,Australia,8,8,6,22,Rome ,1960,Italy,Australia,10361.0,14013.0,Italy,0
Tokyo 1964,1.0,Australia,6,2,10,18,Tokyo ,1964,Japan,Australia,11218.0,15699.0,Japan,0
Mexico City 1968,1.0,Australia,5,7,5,17,Mexico City ,1968,Mexico,Australia,12102.0,17770.0,Mexico,0
Munich 1972,1.0,Australia,8,7,2,17,Munich ,1972,Germany,Australia,13177.0,19772.0,Germany,0
Montreal 1976,1.0,Australia,0,1,4,5,Montreal ,1976,Canada,Australia,13916.0,21613.0,Canada,0
Moscow 1980,1.0,Australia,2,2,5,9,Moscow ,1980,Russia,Australia,14616.0,22972.0,Russian Federation,0
Los Angeles 1984,1.0,Australia,4,8,12,24,Los Angeles ,1984,United States,Australia,15510.0,24009.0,United States,0
Seoul 1988,1.0,Australia,3,6,5,14,Seoul ,1988,South Korea,Australia,16400.0,26702.0,Republic of Korea,0
Barcelona 1992,1.0,Australia,7,9,11,27,Barcelona ,1992,Spain,Australia,17338.0,27560.18,Spain,0
Lillehammer 1994,0.0,Australia,0,0,1,1,Lillehammer ,1994,Norway,Australia,17670.0,29844.17,Norway,0
Atlanta 1996,1.0,Australia,9,9,23,41,Atlanta ,1996,United States,Australia,18102.0,31740.47,United States,0
Nagano 1998,0.0,Australia,0,0,1,1,Nagano ,1998,Japan,Australia,18473.0,34337.14,Japan,0
Sydney 2000,1.0,Australia,16,25,17,58,Sydney ,2000,Australia,Australia,18902.0,36603.05,Australia,1
Salt Lake City 2002,0.0,Australia,2,0,0,2,Salt Lake City ,2002,United States,Australia,19361.0,38567.07,United States,0
Athens 2004,1.0,Australia,17,16,17,50,Athens ,2004,Greece,Australia,19796.0,40887.73,Greece,0
Beijing 2008,1.0,Australia,14,15,17,46,Beijing ,2008,China,Australia,21208.0,44421.64,China,0
Vancouver 2010,0.0,Australia,2,1,0,3,Vancouver ,2010,Canada,Australia,21896.0,45400.22,Canada,0
London 2012,1.0,Australia,8,15,12,35,London ,2012,United Kingdom,Australia,22642.0,46999.0,United Kingdom,0
Sochi 2014,0.0,Australia,0,2,1,3,Sochi ,2014,Russia,Australia,23345.0,47867.0,Russian Federation,0
Rio 2016,1.0,Australia,8,11,10,29,Rio ,2016,Brazil,Australia,24086.0,48845.0,Brazil,0
PyeongChang 2018,0.0,Australia,0,2,1,3,PyeongChang ,2018,South Korea,Australia,24855.0,49830.8,Republic of Korea,0
Tokyo 2020,1.0,Australia,17,7,22,46,Tokyo ,2020,Japan,Australia,,,Japan,0
Athens 1896,1.0,Denmark,1,2,3,6,Athens ,1896,Greece,Denmark,2428.0,4521.0,Greece,0
London 1908,1.0,Denmark,0,2,3,5,London ,1908,United Kingdom,Denmark,2809.0,5662.0,United Kingdom,0
Stockholm 1912,1.0,Denmark,1,6,5,12,Stockholm ,1912,Sweden,Denmark,2951.0,6076.0,Sweden,0
Antwerp 1920,1.0,Denmark,3,9,1,13,Antwerp ,1920,Belgium,Denmark,3242.0,6363.0,Belgium,0
Paris 1924,1.0,Denmark,2,6,3,11,Paris ,1924,France,Denmark,3389.0,7218.0,France,0
Amsterdam 1928,1.0,Denmark,3,2,4,9,Amsterdam ,1928,Netherlands,Denmark,3497.0,7627.0,Netherlands,0
Los Angeles 1932,1.0,Denmark,0,5,3,8,Los Angeles ,1932,United States,Denmark,3603.0,8239.0,United States,0
Berlin 1936,1.0,Denmark,0,2,3,5,Berlin ,1936,Germany,Denmark,3722.0,8886.0,Germany,0
London 1948,1.0,Denmark,5,8,9,22,London ,1948,United Kingdom,Denmark,4190.0,9776.0,United Kingdom,0
Helsinki 1952,1.0,Denmark,2,1,3,6,Helsinki ,1952,Finland,Denmark,4334.0,11086.0,Finland,0
Melbourne 1956,1.0,Denmark,1,1,1,3,Melbourne ,1956,Australia,Denmark,4466.0,11858.0,Australia,0
Rome 1960,1.0,Denmark,2,3,1,6,Rome ,1960,Italy,Denmark,4581.0,14046.0,Italy,0
Tokyo 1964,1.0,Denmark,2,1,3,6,Tokyo ,1964,Japan,Denmark,4720.0,16832.0,Japan,0
Mexico City 1968,1.0,Denmark,1,4,3,8,Mexico City ,1968,Mexico,Denmark,4867.0,18868.0,Mexico,0
Munich 1972,1.0,Denmark,1,0,0,1,Munich ,1972,Germany,Denmark,4992.0,21579.0,Germany,0
Montreal 1976,1.0,Denmark,1,0,2,3,Montreal ,1976,Canada,Denmark,5073.0,23059.0,Canada,0
Moscow 1980,1.0,Denmark,2,1,2,5,Moscow ,1980,Russia,Denmark,5123.0,24272.0,Russian Federation,0
Los Angeles 1984,1.0,Denmark,0,3,3,6,Los Angeles ,1984,United States,Denmark,5112.0,26581.0,United States,0
Seoul 1988,1.0,Denmark,2,1,1,4,Seoul ,1988,South Korea,Denmark,5130.0,29049.0,Republic of Korea,0
Barcelona 1992,1.0,Denmark,1,1,4,6,Barcelona ,1992,Spain,Denmark,5171.0,30573.57,Spain,0
Atlanta 1996,1.0,Denmark,4,1,1,6,Atlanta ,1996,United States,Denmark,5263.0,34325.44,United States,0
Nagano 1998,0.0,Denmark,0,1,0,1,Nagano ,1998,Japan,Denmark,5304.0,36361.23,Japan,0
Sydney 2000,1.0,Denmark,2,3,1,6,Sydney ,2000,Australia,Denmark,5340.0,39021.18,Australia,0
Athens 2004,1.0,Denmark,2,1,5,8,Athens ,2004,Greece,Denmark,5405.0,41178.56,Greece,0
Beijing 2008,1.0,Denmark,2,2,3,7,Beijing ,2008,China,Denmark,5494.0,44246.4,China,0
London 2012,1.0,Denmark,2,4,3,9,London ,2012,United Kingdom,Denmark,5592.0,43510.0,United Kingdom,0
Rio 2016,1.0,Denmark,2,6,7,15,Rio ,2016,Brazil,Denmark,5728.0,44836.0,Brazil,0
Tokyo 2020,1.0,Denmark,3,4,4,11,Tokyo ,2020,Japan,Denmark,,,Japan,0
Athens 1896,1.0,Switzerland,1,2,0,3,Athens ,1896,Greece,Switzerland,3151.0,5967.25,Greece,0
Stockholm 1912,1.0,Switzerland,1,0,0,1,Stockholm ,1912,Sweden,Switzerland,3819.0,8311.78,Sweden,0
Antwerp 1920,1.0,Switzerland,2,2,7,11,Antwerp ,1920,Belgium,Switzerland,3877.0,7363.96,Belgium,0
Paris 1924,1.0,Switzerland,7,8,10,25,Paris ,1924,France,Switzerland,3896.0,8195.52,France,0
Chamonix 1924,0.0,Switzerland,2,0,1,3,Chamonix ,1924,France,Switzerland,3896.0,8195.52,France,0
Amsterdam 1928,1.0,Switzerland,7,6,4,17,Amsterdam ,1928,Netherlands,Switzerland,3988.0,9658.81,Netherlands,0
St. Moritz 1928,0.0,Switzerland,0,0,1,1,St. Moritz ,1928,Switzerland,Switzerland,3988.0,9658.81,Switzerland,1
Lake Placid 1932,0.0,Switzerland,0,1,0,1,Lake Placid ,1932,United States,Switzerland,4102.0,9752.44,United States,0
Los Angeles 1932,1.0,Switzerland,0,1,0,1,Los Angeles ,1932,United States,Switzerland,4102.0,9752.44,United States,0
Garmisch-Partenkirchen 1936,0.0,Switzerland,1,2,0,3,Garmisch-Partenkirchen ,1936,Germany,Switzerland,4168.0,9301.85,Germany,0
Berlin 1936,1.0,Switzerland,4,9,5,18,Berlin ,1936,Germany,Switzerland,4168.0,9301.85,Germany,0
St. Moritz 1948,0.0,Switzerland,3,4,3,10,St. Moritz ,1948,Switzerland,Switzerland,4582.0,11189.34,Switzerland,1
London 1948,1.0,Switzerland,5,12,6,23,London ,1948,United Kingdom,Switzerland,4582.0,11189.34,United Kingdom,0
Helsinki 1952,1.0,Switzerland,2,6,6,14,Helsinki ,1952,Finland,Switzerland,4815.0,12016.31,Finland,0
Oslo 1952,0.0,Switzerland,0,0,2,2,Oslo ,1952,Norway,Switzerland,4815.0,12016.31,Norway,0
Squaw Valley 1960,0.0,Switzerland,2,0,0,2,Squaw Valley ,1960,United States,Switzerland,5362.0,16358.36,United States,0
Rome 1960,1.0,Switzerland,0,3,3,6,Rome ,1960,Italy,Switzerland,5362.0,16358.36,Italy,0
Tokyo 1964,1.0,Switzerland,1,2,1,4,Tokyo ,1964,Japan,Switzerland,5887.0,19195.45,Japan,0
Mexico City 1968,1.0,Switzerland,0,1,4,5,Mexico City ,1968,Mexico,Switzerland,6132.0,21395.39,Mexico,0
Grenoble 1968,0.0,Switzerland,0,2,4,6,Grenoble ,1968,France,Switzerland,6132.0,21395.39,France,0
Sapporo 1972,0.0,Switzerland,4,3,3,10,Sapporo ,1972,Japan,Switzerland,6401.0,25356.91,Japan,0
Munich 1972,1.0,Switzerland,0,3,0,3,Munich ,1972,Germany,Switzerland,6401.0,25356.91,Germany,0
Montreal 1976,1.0,Switzerland,1,1,2,4,Montreal ,1976,Canada,Switzerland,6333.0,24752.91,Canada,0
Innsbruck 1976,0.0,Switzerland,1,3,1,5,Innsbruck ,1976,Austria,Switzerland,6333.0,24752.91,Austria,0
Moscow 1980,1.0,Switzerland,2,0,0,2,Moscow ,1980,Russia,Switzerland,6385.0,27405.73,Russian Federation,0
Lake Placid 1980,0.0,Switzerland,1,1,3,5,Lake Placid ,1980,United States,Switzerland,6385.0,27405.73,United States,0
Sarajevo 1984,0.0,Switzerland,2,2,1,5,Sarajevo ,1984,Bosnia and Herzegovina,Switzerland,6530.0,28315.08,Former Yugoslavia,0
Los Angeles 1984,1.0,Switzerland,0,4,4,8,Los Angeles ,1984,United States,Switzerland,6530.0,28315.08,United States,0
Seoul 1988,1.0,Switzerland,0,2,2,4,Seoul ,1988,South Korea,Switzerland,6704.0,32482.91,Republic of Korea,0
Calgary 1988,0.0,Switzerland,5,5,5,15,Calgary ,1988,Canada,Switzerland,6704.0,32482.91,Canada,0
Albertville 1992,0.0,Switzerland,1,0,2,3,Albertville ,1992,France,Switzerland,6999.0,34356.8,France,0
Barcelona 1992,1.0,Switzerland,1,0,0,1,Barcelona ,1992,Spain,Switzerland,6999.0,34356.8,Spain,0
Lillehammer 1994,0.0,Switzerland,3,4,2,9,Lillehammer ,1994,Norway,Switzerland,7120.0,35423.83,Norway,0
Atlanta 1996,1.0,Switzerland,4,3,0,7,Atlanta ,1996,United States,Switzerland,7199.0,36720.49,United States,0
Nagano 1998,0.0,Switzerland,2,2,3,7,Nagano ,1998,Japan,Switzerland,7238.0,39890.54,Japan,0
Sydney 2000,1.0,Switzerland,1,6,2,9,Sydney ,2000,Australia,Switzerland,7314.0,43251.1,Australia,0
Salt Lake City 2002,0.0,Switzerland,3,2,6,11,Salt Lake City ,2002,United States,Switzerland,7416.0,44934.32,United States,0
Athens 2004,1.0,Switzerland,1,1,3,5,Athens ,2004,Greece,Switzerland,7523.0,47263.6,Greece,0
Beijing 2008,1.0,Switzerland,2,1,4,7,Beijing ,2008,China,Switzerland,7786.0,56054.88,China,0
Vancouver 2010,0.0,Switzerland,6,0,3,9,Vancouver ,2010,Canada,Switzerland,7969.0,57219.5,Canada,0
London 2012,1.0,Switzerland,2,2,0,4,London ,2012,United Kingdom,Switzerland,8141.0,58674.0,United Kingdom,0
Sochi 2014,0.0,Switzerland,7,2,2,11,Sochi ,2014,Russia,Switzerland,8336.0,59485.0,Russian Federation,0
Rio 2016,1.0,Switzerland,3,2,2,7,Rio ,2016,Brazil,Switzerland,8524.0,59662.0,Brazil,0
PyeongChang 2018,0.0,Switzerland,5,6,4,15,PyeongChang ,2018,South Korea,Switzerland,8668.0,61372.73,Republic of Korea,0
Tokyo 2020,1.0,Switzerland,3,4,6,13,Tokyo ,2020,Japan,Switzerland,,,Japan,0
Athens 1896,1.0,MIX,1,0,1,2,Athens ,1896,Greece,,,,Greece,0
Chamonix 1924,0.0,MIX,1,0,0,1,Chamonix ,1924,France,,,,France,0
London 1908,1.0,Sweden,8,6,11,25,London ,1908,United Kingdom,Sweden,5404.0,3959.0,United Kingdom,0
Stockholm 1912,1.0,Sweden,24,24,17,65,Stockholm ,1912,Sweden,Sweden,5583.0,4312.0,Sweden,1
Antwerp 1920,1.0,Sweden,19,20,25,64,Antwerp ,1920,Belgium,Sweden,5876.0,4788.0,Belgium,0
Paris 1924,1.0,Sweden,4,13,12,29,Paris ,1924,France,Sweden,6021.0,5365.0,France,0
Chamonix 1924,0.0,Sweden,1,1,0,2,Chamonix ,1924,France,Sweden,6021.0,5365.0,France,0
Amsterdam 1928,1.0,Sweden,7,6,12,25,Amsterdam ,1928,Netherlands,Sweden,6097.0,6113.0,Netherlands,0
St. Moritz 1928,0.0,Sweden,2,2,1,5,St. Moritz ,1928,Switzerland,Sweden,6097.0,6113.0,Switzerland,0
Lake Placid 1932,0.0,Sweden,1,2,0,3,Lake Placid ,1932,United States,Sweden,6176.0,6325.0,United States,0
Los Angeles 1932,1.0,Sweden,10,5,9,24,Los Angeles ,1932,United States,Sweden,6176.0,6325.0,United States,0
Garmisch-Partenkirchen 1936,0.0,Sweden,2,2,3,7,Garmisch-Partenkirchen ,1936,Germany,Sweden,6259.0,7396.0,Germany,0
Berlin 1936,1.0,Sweden,6,5,10,21,Berlin ,1936,Germany,Sweden,6259.0,7396.0,Germany,0
St. Moritz 1948,0.0,Sweden,4,3,3,10,St. Moritz ,1948,Switzerland,Sweden,6883.0,9822.0,Switzerland,0
London 1948,1.0,Sweden,17,11,18,46,London ,1948,United Kingdom,Sweden,6883.0,9822.0,United Kingdom,0
Helsinki 1952,1.0,Sweden,12,13,10,35,Helsinki ,1952,Finland,Sweden,7125.0,11152.0,Finland,0
Oslo 1952,0.0,Sweden,0,0,4,4,Oslo ,1952,Norway,Sweden,7125.0,11152.0,Norway,0
Melbourne 1956,1.0,Sweden,5,5,6,16,Melbourne ,1956,Australia,Sweden,7315.0,12428.0,Australia,0
Squaw Valley 1960,0.0,Sweden,3,2,2,7,Squaw Valley ,1960,United States,Sweden,7480.0,13849.0,United States,0
Rome 1960,1.0,Sweden,1,2,3,6,Rome ,1960,Italy,Sweden,7480.0,13849.0,Italy,0
Innsbruck 1964,0.0,Sweden,3,3,1,7,Innsbruck ,1964,Austria,Sweden,7661.0,16761.0,Austria,0
Tokyo 1964,1.0,Sweden,2,2,4,8,Tokyo ,1964,Japan,Sweden,7661.0,16761.0,Japan,0
Mexico City 1968,1.0,Sweden,2,1,1,4,Mexico City ,1968,Mexico,Sweden,7912.0,18428.0,Mexico,0
Grenoble 1968,0.0,Sweden,3,2,3,8,Grenoble ,1968,France,Sweden,7912.0,18428.0,France,0
Sapporo 1972,0.0,Sweden,1,1,2,4,Sapporo ,1972,Japan,Sweden,8122.0,20725.0,Japan,0
Munich 1972,1.0,Sweden,4,6,6,16,Munich ,1972,Germany,Sweden,8122.0,20725.0,Germany,0
Montreal 1976,1.0,Sweden,4,1,0,5,Montreal ,1976,Canada,Sweden,8222.0,22765.0,Canada,0
Innsbruck 1976,0.0,Sweden,0,0,2,2,Innsbruck ,1976,Austria,Sweden,8222.0,22765.0,Austria,0
Moscow 1980,1.0,Sweden,3,3,6,12,Moscow ,1980,Russia,Sweden,8310.0,23809.0,Russian Federation,0
Lake Placid 1980,0.0,Sweden,3,0,1,4,Lake Placid ,1980,United States,Sweden,8310.0,23809.0,United States,0
Sarajevo 1984,0.0,Sweden,4,2,2,8,Sarajevo ,1984,Bosnia and Herzegovina,Sweden,8337.0,25357.0,Former Yugoslavia,0
Los Angeles 1984,1.0,Sweden,2,11,6,19,Los Angeles ,1984,United States,Sweden,8337.0,25357.0,United States,0
Seoul 1988,1.0,Sweden,0,4,7,11,Seoul ,1988,South Korea,Sweden,8436.0,27468.0,Republic of Korea,0
Calgary 1988,0.0,Sweden,4,0,2,6,Calgary ,1988,Canada,Sweden,8436.0,27468.0,Canada,0
Albertville 1992,0.0,Sweden,1,0,3,4,Albertville ,1992,France,Sweden,8668.0,27198.53,France,0
Barcelona 1992,1.0,Sweden,1,7,4,12,Barcelona ,1992,Spain,Sweden,8668.0,27198.53,Spain,0
Lillehammer 1994,0.0,Sweden,2,1,0,3,Lillehammer ,1994,Norway,Sweden,8781.0,27505.96,Norway,0
Atlanta 1996,1.0,Sweden,2,4,2,8,Atlanta ,1996,United States,Sweden,8841.0,29012.1,United States,0
Nagano 1998,0.0,Sweden,0,2,1,3,Nagano ,1998,Japan,Sweden,8851.0,31187.16,Japan,0
Sydney 2000,1.0,Sweden,4,5,3,12,Sydney ,2000,Australia,Sweden,8872.0,34202.6,Australia,0
Salt Lake City 2002,0.0,Sweden,0,2,5,7,Salt Lake City ,2002,United States,Sweden,8925.0,35569.77,United States,0
Athens 2004,1.0,Sweden,4,2,1,7,Athens ,2004,Greece,Sweden,8994.0,38016.06,Greece,0
Beijing 2008,1.0,Sweden,0,4,1,5,Beijing ,2008,China,Sweden,9220.0,42189.96,China,0
Vancouver 2010,0.0,Sweden,5,2,4,11,Vancouver ,2010,Canada,Sweden,9378.0,42634.75,Canada,0
London 2012,1.0,Sweden,1,4,3,8,London ,2012,United Kingdom,Sweden,9520.0,41650.0,United Kingdom,0
Sochi 2014,0.0,Sweden,2,7,6,15,Sochi ,2014,Russia,Sweden,9696.0,42476.0,Russian Federation,0
Rio 2016,1.0,Sweden,2,6,3,11,Rio ,2016,Brazil,Sweden,9923.0,44659.0,Brazil,0
PyeongChang 2018,0.0,Sweden,7,6,1,14,PyeongChang ,2018,South Korea,Sweden,10175.0,45541.89,Republic of Korea,0
Tokyo 2020,1.0,Sweden,3,6,0,9,Tokyo ,2020,Japan,Sweden,,,Japan,0
London 1908,1.0,Canada,3,3,10,16,London ,1908,United Kingdom,Canada,6813.0,5694.0,United Kingdom,0
Stockholm 1912,1.0,Canada,3,2,3,8,Stockholm ,1912,Sweden,Canada,7602.0,6977.0,Sweden,0
Antwerp 1920,1.0,Canada,3,3,3,9,Antwerp ,1920,Belgium,Canada,8798.0,6154.0,Belgium,0
Paris 1924,1.0,Canada,0,3,1,4,Paris ,1924,France,Canada,9394.0,6339.0,France,0
Chamonix 1924,0.0,Canada,1,0,0,1,Chamonix ,1924,France,Canada,9394.0,6339.0,France,0
Amsterdam 1928,1.0,Canada,4,4,7,15,Amsterdam ,1928,Netherlands,Canada,10107.0,8244.0,Netherlands,0
St. Moritz 1928,0.0,Canada,1,0,0,1,St. Moritz ,1928,Switzerland,Canada,10107.0,8244.0,Switzerland,0
Lake Placid 1932,0.0,Canada,1,1,5,7,Lake Placid ,1932,United States,Canada,10794.0,5852.0,United States,0
Los Angeles 1932,1.0,Canada,2,5,9,16,Los Angeles ,1932,United States,Canada,10794.0,5852.0,United States,0
Garmisch-Partenkirchen 1936,0.0,Canada,0,1,0,1,Garmisch-Partenkirchen ,1936,Germany,Canada,11243.0,6574.0,Germany,0
Berlin 1936,1.0,Canada,1,3,5,9,Berlin ,1936,Germany,Canada,11243.0,6574.0,Germany,0
St. Moritz 1948,0.0,Canada,2,0,1,3,St. Moritz ,1948,Switzerland,Canada,13180.0,11261.0,Switzerland,0
London 1948,1.0,Canada,0,2,2,4,London ,1948,United Kingdom,Canada,13180.0,11261.0,United Kingdom,0
Helsinki 1952,1.0,Canada,1,2,0,3,Helsinki ,1952,Finland,Canada,14786.0,12486.0,Finland,0
Oslo 1952,0.0,Canada,1,0,1,2,Oslo ,1952,Norway,Canada,14786.0,12486.0,Norway,0
Melbourne 1956,1.0,Canada,2,1,2,5,Melbourne ,1956,Australia,Canada,16445.0,13791.0,Australia,0
Squaw Valley 1960,0.0,Canada,2,1,1,4,Squaw Valley ,1960,United States,Canada,18267.0,13952.0,United States,0
Rome 1960,1.0,Canada,0,1,0,1,Rome ,1960,Italy,Canada,18267.0,13952.0,Italy,0
Innsbruck 1964,0.0,Canada,1,1,1,3,Innsbruck ,1964,Austria,Canada,19711.0,15938.0,Austria,0
Tokyo 1964,1.0,Canada,1,2,1,4,Tokyo ,1964,Japan,Canada,19711.0,15938.0,Japan,0
Mexico City 1968,1.0,Canada,1,3,1,5,Mexico City ,1968,Mexico,Canada,21143.0,18297.0,Mexico,0
Grenoble 1968,0.0,Canada,1,1,1,3,Grenoble ,1968,France,Canada,21143.0,18297.0,France,0
Sapporo 1972,0.0,Canada,0,1,0,1,Sapporo ,1972,Japan,Canada,22285.0,20837.0,Japan,0
Munich 1972,1.0,Canada,0,2,3,5,Munich ,1972,Germany,Canada,22285.0,20837.0,Germany,0
Montreal 1976,1.0,Canada,0,5,6,11,Montreal ,1976,Canada,Canada,23518.0,23754.0,Canada,1
Innsbruck 1976,0.0,Canada,1,1,1,3,Innsbruck ,1976,Austria,Canada,23518.0,23754.0,Austria,0
Lake Placid 1980,0.0,Canada,0,1,1,2,Lake Placid ,1980,United States,Canada,24593.0,25784.0,United States,0
Sarajevo 1984,0.0,Canada,2,1,1,4,Sarajevo ,1984,Bosnia and Herzegovina,Canada,25702.0,26836.0,Former Yugoslavia,0
Los Angeles 1984,1.0,Canada,10,18,16,44,Los Angeles ,1984,United States,Canada,25702.0,26836.0,United States,0
Seoul 1988,1.0,Canada,3,2,5,10,Seoul ,1988,South Korea,Canada,26895.0,30275.0,Republic of Korea,0
Calgary 1988,0.0,Canada,0,2,3,5,Calgary ,1988,Canada,Canada,26895.0,30275.0,Canada,1
Albertville 1992,0.0,Canada,2,3,2,7,Albertville ,1992,France,Canada,28487.0,29141.19,France,0
Barcelona 1992,1.0,Canada,7,4,7,18,Barcelona ,1992,Spain,Canada,28487.0,29141.19,Spain,0
Lillehammer 1994,0.0,Canada,3,6,4,13,Lillehammer ,1994,Norway,Canada,29126.0,30745.82,Norway,0
Atlanta 1996,1.0,Canada,3,11,8,22,Atlanta ,1996,United States,Canada,29740.0,31594.24,United States,0
Nagano 1998,0.0,Canada,6,5,4,15,Nagano ,1998,Japan,Canada,30297.0,33785.75,Japan,0
Sydney 2000,1.0,Canada,3,3,8,14,Sydney ,2000,Australia,Canada,30823.0,36942.56,Australia,0
Salt Lake City 2002,0.0,Canada,7,3,7,17,Salt Lake City ,2002,United States,Canada,31489.0,38123.99,United States,0
Athens 2004,1.0,Canada,3,6,3,12,Athens ,2004,Greece,Canada,32084.0,39491.57,Greece,0
Beijing 2008,1.0,Canada,3,9,8,20,Beijing ,2008,China,Canada,33390.0,41896.43,China,0
Vancouver 2010,0.0,Canada,14,7,5,26,Vancouver ,2010,Canada,Canada,34153.0,41209.43,Canada,1
London 2012,1.0,Canada,2,5,11,18,London ,2012,United Kingdom,Canada,34864.0,42445.0,United Kingdom,0
Sochi 2014,0.0,Canada,10,10,5,25,Sochi ,2014,Russia,Canada,35595.0,43607.0,Russian Federation,0
Rio 2016,1.0,Canada,4,3,15,22,Rio ,2016,Brazil,Canada,36259.0,43745.0,Brazil,0
PyeongChang 2018,0.0,Canada,11,8,10,29,PyeongChang ,2018,South Korea,Canada,37206.0,44868.74,Republic of Korea,0
Tokyo 2020,1.0,Canada,7,6,11,24,Tokyo ,2020,Japan,Canada,,,Japan,0
London 1908,1.0,Norway,2,3,3,8,London ,1908,United Kingdom,Norway,2346.0,3612.0,United Kingdom,0
Stockholm 1912,1.0,Norway,4,1,5,10,Stockholm ,1912,Sweden,Norway,2423.0,4050.0,Sweden,0
Antwerp 1920,1.0,Norway,13,10,9,32,Antwerp ,1920,Belgium,Norway,2635.0,4739.0,Belgium,0
